"Species","Macrocoeloma trispinosum","Amphithrax aculeatus","Mithraculus sculptus","Omalacantha bicornuta","Actaea bifrons","Neopisosoma angustifrons","DESCONOCIDO"
Dicytiota dicothoma,0,0,0,20,0,0,20
Sphacelaria tribuloides Menghini,5,0,0,5,5,0,15
Feldmannia indica (Sonder) Womersley & A. Bailey,5,0,0,0,0,0,5
Feldmannia mitchelliae (Harvey) H. S. Kim,0,0,0,15,0,0,15
Jania adhaerens J. V. Lamouroux,0,10,0,20,10,0,40
Lithothamnion floridanum Foslie 1906,0,0,0,0,10,0,10
Pneophyllum fragile Kützing,0,0,0,5,0,0,5
Amphiroa fragilissima (Linnaeus) J. V. Lamouroux,0,0,5,10,0,0,15
Ceramium cimbricum H. E. Petersen,5,0,5,25,0,0,35
Ceramium sp,5,0,0,0,0,0,5
Acanthophora spicifera (M. Vahl) Børgesen,0,0,0,5,0,0,5
Spyridia filamentosa (Wulfen) Harvey,0,0,0,10,0,0,10
Ochtodes secundiramea (Montagne) M. Howe,0,0,0,15,0,0,15
Gelidiella transversalis,0,0,0,15,0,0,15
Gracilaria sp1,5,0,0,10,0,0,15
Gracilaria sp2,0,0,0,5,0,0,5
Gracilaria gracilis,0,5,15,10,0,0,30
Bryopsis plumosa (Hudson) C. Agardh,0,0,20,0,0,0,20
Chaetomorpha aerea (Dillwyn) Kützing,15,5,5,5,10,5,45
Cladophora lehmanniana (Lindenberg) Kützing,0,10,10,15,0,10,45
Cladophora catenata,20,0,0,15,15,0,50
Rhizoclonium riparium (Roth) Kützing ex Harvey,0,0,0,5,5,0,10
Batophora oerstedii J. Agardh,5,0,0,0,5,0,10
Ulva flexuosa Wulfen,0,0,5,15,0,0,20
