,Macrocoeloma trispinosum,Amphithrax aculeatus,Mithraculus sculptus,Omalacantha bicornuta,Actaea bifrons,Williamstimpsonia denticulatus,Neopisosoma angustifrons
Dicytiota dicothoma,0,0,0,20,0,0,0
Padina sanctae-crucis Bõrgesen,0,0,0,0,0,0,0
Sphacelaria tribuloides Menghini,5,0,0,5,5,0,0
Feldmannia indica (Sonder) Womersley & A. Bailey,5,0,0,0,0,0,0
Feldmannia mitchelliae (Harvey) H. S. Kim,0,0,0,15,0,0,0
Jania adhaerens J. V. Lamouroux,0,10,0,20,10,0,0
Lithothamnion floridanum Foslie 1906,0,0,0,0,10,0,0
Pneophyllum fragile KÅtzing,0,0,0,5,0,0,0
Amphiroa fragilissima (Linnaeus) J. V. Lamouroux,0,0,5,10,0,0,0
Ceramium cimbricum H. E. Petersen,5,0,5,25,0,0,0
Ceramium sp,5,0,0,0,0,0,0
Acanthophora spicifera (M. Vahl) Bõrgesen,0,0,0,5,0,0,0
Spyridia filamentosa (Wulfen) Harvey,0,0,0,10,0,0,0
Ochtodes secundiramea (Montagne) M. Howe,0,0,0,15,0,0,0
Gelidiella transversalis,0,0,0,15,0,0,0
Gracilaria sp1,5,0,0,10,0,0,0
Gracilaria sp2,0,0,0,5,0,0,0
Gracilaria gracilis,0,5,15,10,0,5,0
Bryopsis plumosa (Hudson) C. Agardh,0,0,20,0,0,0,0
Chaetomorpha aerea (Dillwyn) KÅtzing,15,5,5,5,10,10,5
Cladophora lehmanniana (Lindenberg) KÅtzing,0,10,10,15,0,15,10
Cladophora catenata,20,0,0,15,15,0,0
Rhizoclonium riparium (Roth) KÅtzing ex Harvey,0,0,0,5,5,0,0
Batophora oerstedii J. Agardh,5,0,0,0,5,0,0
Ulva flexuosa Wulfen,0,0,5,15,0,0,0
