"X","Amphipsylla.rossica","Amphipsylla.schelkovnikovi","Callopsylla.caspia","Callopsylla.saxatilis","Ceratophyllus.sciurorum","Citellophilus.transcaucasicus","Ctenophthalmus.acuminatus","Ctenophthalmus.bogatschevi","Ctenophthalmus.golovi","Ctenophthalmus.proximus","Ctenophthalmus.secundus","Ctenophthalmus.teres","Frontopsylla.elata","Hystrichopsylla.talpae","Leptopsylla.segnis","Megabothris.turbidus","Megabothris.walkeri","Mesopsylla.apscheronica","Mesopsylla.tuschkan","Myoxopsylla.jordani","Neopsylla.pleskei","Neopsylla.setosa","Nosopsyllus.consimilis","Nosopsyllus.fasciatus","Nosopsyllus.iranus","Nosopsyllus.mokrzeckyi","Ophthalmopsylla.volgensis","Oropsylla.ilovaiskii","Paradoxopsyllus.hesperius","Rhadinopsylla.cedestis","Rhadinopsylla.integella","Rhadinopsylla.ucrainica","Stenoponia.ivanovi","Stenoponia.tripectinata","Wagnerina.schelkovnikovi","Xenopsylla.cheopis","Xenopsylla.conformis"
"Allactaga elater",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"Apodemus flavicollis",16,0,5,0,0,0,20,15,0,9,4,7,1,0,10,3,0,0,5,1,1,0,58,0,0,1,0,0,0,0,0,0,0,0,0,8,0
"Arvicola terrestris",5,0,5,13,0,3,0,1,0,1,0,46,0,0,2,0,190,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Chionomys nivalis",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Cricetulus migratorius",16,2253,0,0,0,1,4,0,0,1,14,0,0,0,42,0,0,0,0,0,36,4,154,29,11,60,0,1,0,0,0,0,0,0,172,3,0
"Crocidura suaveolens",0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dryomys nitedula",5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones persicus",0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,12,0,196,9,4,0,0,2,0,0,0,3,0,261,12
"Meriones tristrami",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,7,0,126,0,0,0,0,6,0,0,0,0,0,139,0
"Meriones vinogradovi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,21,0,611,0,1,0,0,2,0,0,0,21,0,2763,0
"Mesocricetus brandti",5,0,0,0,0,0,158,0,0,0,0,57,1,0,0,5,0,2,0,0,28,9,82,5,2,0,0,0,0,0,6,2,0,0,0,0,0
"Microtus arvalis",84,25,15,9,0,4,2,21,7,0,0,151,21,3,0,0,14,0,0,0,1,0,36,5,0,0,0,0,0,0,0,0,63,0,0,0,0
"Microtus socialis",23,1,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,1,48,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Neomys schelkovnikovi",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sciurus anomalus",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus xanthoprymnus",0,0,0,0,0,2654,0,0,0,0,0,49,0,0,0,0,0,0,0,0,5,3719,104,0,10,0,0,711,0,0,0,0,0,0,0,0,0
