Host/Climbing plant,Hedera helix,Lonicera periclymenum,Galium aparine,Humulus lupulus,Dioscorea communis,Vicia villosa,Solanum dulcamara,Bryonia dioica,Lathyrus sativus,Vitis vinifera
Ligustrum vulgare,1,10,5,7,1,5,0,0,2,1
Lonicera xylosteum,0,3,5,3,2,1,1,3,1,1
Cornus sanguinea,0,5,0,4,1,2,1,1,0,0
Corylus avellana,6,4,1,2,1,0,0,0,0,1
Viburnum opulus,0,4,3,4,1,1,3,1,0,1
Crataegus monogyna,7,4,2,4,0,1,0,0,0,1
Rhamnus cathartica,0,4,0,2,1,0,0,1,1,0
Populus nigra,11,2,1,1,0,1,1,0,0,0
Pteridium aquilinum,0,2,6,5,5,2,0,0,0,2
Prunus spinosa,0,1,1,2,0,2,1,0,1,1
Rubus ulmifolius,0,1,0,0,1,2,1,0,0,0
Fraxinus angustifolia,4,0,0,2,0,0,0,0,0,0
Alnus glutinosa,4,0,0,1,0,0,0,0,0,0
Frangula alnus,0,1,0,0,0,1,0,0,0,0
Euonymus europaeus,1,0,0,0,0,0,0,0,0,0
Rosa canina,0,2,0,1,0,0,0,0,0,0
Betula pendula,4,0,0,0,0,0,0,0,0,0
Salix atrocinerea,2,2,0,1,0,0,1,0,0,0
Cytisus scoparius,0,0,0,0,0,1,0,0,0,0
Juniperus communis,0,0,1,0,0,0,0,0,0,0
Quercus faginea,2,0,0,0,0,0,0,0,0,0
Salix purpurea,0,1,1,2,0,0,0,0,0,0
Salix fragilis,1,0,0,0,0,0,0,0,0,0
Alnus incana,1,0,0,0,0,0,0,0,0,0
