"",Aglaeactis.cuppripennis,Coeligena.torquata,Coeligena.violifer,Conirostrum.ferrugeneiventre,Diglossa.brunneiventris,Diglossa.cyanea,Diglossa.mystacalis,Diglossa.sittoides,Ensifera.ensifera,Heliangelus.amethestycollis,Lafresnaya.lafresnayi,Lesbia.victoriae,Metallura.theresiae
Berberis.lutea,0,0,0,0,0,0,0,0,0,0,0,0,2
Bomarea.brevis,0,0,0,0,0,0,1,0,0,0,0,0,7
Bomarea.setacea,0,0,0,0,0,0,0,0,0,0,0,0,5
Brachyotum.lutescens,1,1,0,1,5,0,10,2,0,0,0,2,45
Brachyotum.naudini,0,0,0,0,0,0,0,0,0,0,0,0,7
Greigia.mcbrideana,0,0,0,0,0,0,0,0,0,0,0,0,3
Centropogon.isabellinus,1,0,0,0,0,0,2,0,0,0,2,0,1
Desfontainia.spinoza,0,0,0,0,0,0,1,0,0,1,0,0,7
Disterigma.spp,0,0,0,0,0,0,1,0,0,0,0,0,5
Dunalia.brachiacantha,0,0,0,0,0,0,0,0,0,0,0,0,3
Fuchsia.decusatta,1,0,2,0,3,1,2,0,0,0,0,0,10
Gaiadendron.punctatum,0,0,0,1,1,0,0,0,0,0,0,0,2
Gaultheria.bracteata,0,0,0,3,1,0,1,0,0,0,0,0,3
Gentianella.fruticulosa,0,0,0,0,0,0,0,0,0,0,0,0,3
Gentianella.violacea,0,0,0,0,0,0,0,0,0,0,0,0,8
Meriania.radula,0,0,0,0,0,0,0,0,0,0,0,0,7
Miconia.alpina,0,0,0,0,0,0,0,0,0,1,0,0,1
Monnina.salicifolia,1,0,0,0,0,0,0,0,0,0,0,0,1
Passiflora.cumbalensis,0,0,0,0,2,0,0,0,0,0,0,0,3
Pellegrinia.hirsuta,0,0,0,0,0,0,0,0,0,0,0,0,1
Puya.pseudoeryngioides,0,1,0,0,1,0,0,0,0,0,0,0,1
Ribes.incarnatum,0,0,0,0,0,0,1,0,0,0,0,0,2
Rubus.sp,0,0,0,0,1,0,0,0,0,0,0,0,10
Saracha.punctata,0,0,0,0,0,0,1,0,0,0,0,0,1
Tristerix.longebracteatus,0,0,2,0,1,0,15,0,2,0,0,0,4
Tropaeolum.bicolor,0,0,3,0,0,0,0,0,0,0,0,0,0
Vaccinium.floribundum,0,0,0,0,0,0,0,0,0,0,0,0,4
