"Disease","Ca","Cu","Fe","metal cation","Mg","Mn","SAM","Vit B2 (FAD)","Vit C (Ascorbic Acid)","Zn","Heme","Mo","MPT","Fe-S complex","Vit B5 (CoA)","metal","Vit B3 (NAD)","Vit B6 (PP)","BH4","Vit B2 (FMN)","Vit B1 (TPP)","K","Biopterin","GSH"
"Arthritis",3,1,2,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asthma",0,1,1,1,2,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Atopy",1,1,2,1,2,0,1,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"Bronchial Diseases",2,1,2,1,3,0,1,0,0,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Chronic Obstructive Airway Disease",2,1,2,1,3,0,1,0,0,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Colitis",0,1,0,0,3,3,1,1,0,6,0,0,0,2,0,1,1,1,0,0,0,0,0,0
"Dermatitis",1,0,1,0,1,0,0,1,0,4,2,0,0,1,0,0,1,0,1,1,0,0,0,0
"Diabetes Mellitus",1,0,2,0,6,2,0,1,0,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0
"Disorder Of Pancreatic Internal Secretion",1,0,2,0,6,2,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
"Inflammatory Bowel Diseases",1,1,0,0,7,3,2,1,0,10,0,0,0,2,0,1,1,2,0,0,0,0,0,0
"Lung Diseases, Obstructive",2,1,2,1,3,0,1,0,0,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Mood Disorders",4,1,1,2,8,1,1,0,0,5,0,0,0,0,1,2,1,1,0,0,0,1,0,0
"Obesity",4,0,3,4,7,2,0,1,1,3,1,0,0,0,2,0,1,0,0,0,0,0,1,1
"Overnutrition",4,0,3,4,7,2,0,1,1,3,1,0,0,0,2,0,1,0,0,0,0,0,1,1
"Respiratory Hypersensitivity",0,1,1,1,2,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
